,station_name,station_no,site_name,station_latitude,station_longitude,Vert_coord_Loc,TOS_1,BOS_1,TOS_2,BOS_2,TOS_3,BOS_3,TOS_4,BOS_4,TOS_5,BOS_5,TOS_6,BOS_6,TOS_7,BOS_7,TOS_8,BOS_8,Depth_to_Bot_Perf,Depth_to_Top_Perf,Depth_Category,Subbasin_Name,GWREF_DATUM,Web_Station_Name,Well_Depth,geometry
164,Son0191,SV-O17-01,Sonoma Creek,38.24388223,-122.4189133,Lidar_Elev_NAVD88,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,23.709999,,93,POINT (6441349.845033424 1850914.4247545914)
255,Son0307,381443122243801,Sonoma Creek,38.24527778,-122.410611,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,60.0,,245,POINT (6443736.641560729 1851411.7835042686)
247,Son0298,Son0298,Sonoma Creek,38.24525,-122.4267778,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,11.0,,,POINT (6439093.425962499 1851423.039542693)
444,Son0507,4901388-001,Sonoma Creek,38.245309,-122.423656,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6439990.119342328 1851440.3347008743)
246,Son0296,381443122254201,Sonoma Creek,38.2454722,-122.4283333,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,821,POINT (6438647.061775216 1851506.0602771514)
237,Son0285,381438122262101,Sonoma Creek,38.24402778,-122.4393889,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,9.0,,150,POINT (6435469.317686804 1850995.1775931667)
99,UPE11-0036_1,UPE11-0036_1,PRMD,38.24409763,-122.4479679,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,20.18,,,POINT (6433005.481016624 1851032.6347874335)
241,Son0291,381439122261101,Sonoma Creek,38.24416667,-122.4364167,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,200,POINT (6436323.202116072 1851041.6486873587)
417,Son0480,4901193-001,Sonoma Creek,38.244123,-122.449011,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6432705.939812727 1851043.351271861)
230,Son0278,381439122264901,Sonoma Creek,38.24441667,-122.4471389,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,,POINT (6433244.148375326 1851147.651030806)
238,Son0286,381444122262101,Sonoma Creek,38.24569444,-122.4393889,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,70,POINT (6435472.25276308 1851602.1412351336)
233,Son0281,381447122264301,Sonoma Creek,38.24652778,-122.4453056,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,13.0,,,POINT (6433774.4527184265 1851913.890840443)
154,Son0179,SV-N16-03,Sonoma Creek,38.24758356,-122.4411143,Survey_ElevNAD88,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,20.6,,.,POINT (6434980.054489856 1852292.5186769872)
229,Son0277,381452122264801,Sonoma Creek,38.24769561560165,-122.447757749234,,0.0,100.0,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,16.0,,100,POINT (6433072.295000005 1852342.6499999987)
153,Son0178,SV-N16-02,Sonoma Creek,38.24777778,-122.4477778,Survey_ElevNGVD29,43.0,63.0,,,,,,,,,,,,,,,43.0,63,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,16.0,,123,POINT (6433066.684004014 1852372.600929788)
73,PLP09-0062_1,PLP09-0062_1,PRMD,38.245876,-122.422739,,,,,,,,,,,,,,,,,,200.0,180.0,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,20.8958181590693,,440.0,POINT (6440254.445816618 1851645.599373879)
244,Son0294,381445122254501,Sonoma Creek,38.24591667,-122.429361,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,120,POINT (6438352.668142896 1851669.3188944715)
251,Son0302,381448122250501,Sonoma Creek,38.24675,-122.4182778,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,28.0,,500,POINT (6441537.174246109 1851957.9693318175)
245,Son0295,381448122254201,Sonoma Creek,38.24688889,-122.4284722,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,14.0,,730,POINT (6438609.602143167 1852022.1780611563)
256,Son0308,381450122243701,Sonoma Creek,38.2472222,-122.4103056,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,70.0,,280,POINT (6443827.551178751 1852119.5068509427)
23,UPC19-0009_1,UPC19-0009_1,PRMD,38.24753113,-122.403502,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,0.0,,,POINT (6445782.019371554 1852223.2722514402)
24,UPC19-0010_1,UPC19-0010_1,PRMD,38.24753113465457,-122.4035019681798,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,154.48907435264164,,,POINT (6445782.028517684 1852223.2739060016)
388,Son0451,4900924-001,Sonoma Creek,38.247548,-122.41757,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6441741.788515221 1852247.6509677696)
